Prefix	ValueType	Suffix	Length
None	Integer	None	Empty
None	Decimal	f	SingleChar
None	Scientific	F	Normal
None	HexDigits	d	ExceedLong
None	Alphanumeric	D	Empty
Plus	Integer	f	Normal
Plus	Decimal	None	ExceedLong
Plus	Scientific	d	Empty
Plus	HexDigits	F	SingleChar
Plus	Alphanumeric	l	SingleChar
Minus	Integer	F	ExceedLong
Minus	Decimal	d	Normal
Minus	Scientific	None	SingleChar
Minus	HexDigits	f	Empty
Minus	Alphanumeric	L	Normal
ZeroX	Integer	d	SingleChar
ZeroX	Decimal	F	Empty
ZeroX	Scientific	f	ExceedLong
ZeroX	HexDigits	None	Normal
ZeroX	Alphanumeric	Invalid	ExceedLong
MinusZeroX	Integer	D	SingleChar
MinusZeroX	Decimal	l	Empty
MinusZeroX	Scientific	L	ExceedLong
MinusZeroX	HexDigits	Invalid	Normal
MinusZeroX	Alphanumeric	None	Empty
Hash	Integer	l	Normal
Hash	Decimal	D	ExceedLong
Hash	Scientific	Invalid	Empty
Hash	HexDigits	L	SingleChar
Hash	Alphanumeric	f	Empty
Hash	Integer	None	Empty
MinusZeroX	Integer	f	Empty
MinusZeroX	Alphanumeric	F	Empty
Hash	Integer	F	Empty
MinusZeroX	Alphanumeric	d	Empty
Hash	Integer	d	Empty
Plus	Scientific	D	Normal
Minus	HexDigits	D	Empty
ZeroX	Integer	D	Empty
None	Scientific	l	ExceedLong
Minus	HexDigits	l	Empty
ZeroX	Integer	l	Empty
None	Integer	L	Empty
Plus	Decimal	L	Empty
ZeroX	Integer	L	Empty
None	Integer	Invalid	SingleChar
Plus	Decimal	Invalid	Empty
Minus	Integer	Invalid	Empty
