a	b	c
0	0	0
0	1	1
0	-1	-1
0	Integer.MAX_VALUE	Integer.MAX_VALUE
0	Integer.MIN_VALUE	Integer.MIN_VALUE
1	0	1
1	1	0
1	-1	Integer.MAX_VALUE
1	Integer.MAX_VALUE	-1
1	Integer.MIN_VALUE	0
-1	0	-1
-1	1	Integer.MAX_VALUE
-1	-1	0
-1	Integer.MAX_VALUE	1
-1	Integer.MIN_VALUE	1
Integer.MAX_VALUE	0	Integer.MAX_VALUE
Integer.MAX_VALUE	1	-1
Integer.MAX_VALUE	-1	1
Integer.MAX_VALUE	Integer.MAX_VALUE	0
Integer.MAX_VALUE	Integer.MIN_VALUE	-1
Integer.MIN_VALUE	0	Integer.MIN_VALUE
Integer.MIN_VALUE	1	0
Integer.MIN_VALUE	-1	1
Integer.MIN_VALUE	Integer.MAX_VALUE	-1
Integer.MIN_VALUE	Integer.MIN_VALUE	Integer.MAX_VALUE
1	1	Integer.MIN_VALUE
-1	-1	Integer.MIN_VALUE
Integer.MAX_VALUE	Integer.MAX_VALUE	Integer.MIN_VALUE
