defaultValue	key
(byte) 0	""""""
(byte) 0	""" """
(byte) 0	"""a"""
(byte) 0	"""test123"""
(byte) 0	"""!@#"""
(byte) 0	"""0"""
(byte) 0	"""-1"""
(byte) 0	"""1.5"""
(byte) 0	"""9223372036854775807"""
(byte) 0	"""9223372036854775808"""
(byte) 0	"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"""
(byte) 1	""""""
(byte) 1	""" """
(byte) 1	"""a"""
(byte) 1	"""test123"""
(byte) 1	"""!@#"""
(byte) 1	"""0"""
(byte) 1	"""-1"""
(byte) 1	"""1.5"""
(byte) 1	"""9223372036854775807"""
(byte) 1	"""9223372036854775808"""
(byte) 1	"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"""
(byte) -1	""""""
(byte) -1	""" """
(byte) -1	"""a"""
(byte) -1	"""test123"""
(byte) -1	"""!@#"""
(byte) -1	"""0"""
(byte) -1	"""-1"""
(byte) -1	"""1.5"""
(byte) -1	"""9223372036854775807"""
(byte) -1	"""9223372036854775808"""
(byte) -1	"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"""
Byte.MAX_VALUE	""""""
Byte.MAX_VALUE	""" """
Byte.MAX_VALUE	"""a"""
Byte.MAX_VALUE	"""test123"""
Byte.MAX_VALUE	"""!@#"""
Byte.MAX_VALUE	"""0"""
Byte.MAX_VALUE	"""-1"""
Byte.MAX_VALUE	"""1.5"""
Byte.MAX_VALUE	"""9223372036854775807"""
Byte.MAX_VALUE	"""9223372036854775808"""
Byte.MAX_VALUE	"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"""
