defaultValue	key
0.0d	""""""
0.0d	""" """
0.0d	"""a"""
0.0d	"""test123"""
0.0d	"""!@#"""
0.0d	"""0"""
0.0d	"""-1"""
0.0d	"""1.5"""
0.0d	"""9223372036854775807"""
0.0d	"""9223372036854775808"""
0.0d	"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"""
1.0d	""""""
1.0d	""" """
1.0d	"""a"""
1.0d	"""test123"""
1.0d	"""!@#"""
1.0d	"""0"""
1.0d	"""-1"""
1.0d	"""1.5"""
1.0d	"""9223372036854775807"""
1.0d	"""9223372036854775808"""
1.0d	"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"""
-1.0d	""""""
-1.0d	""" """
-1.0d	"""a"""
-1.0d	"""test123"""
-1.0d	"""!@#"""
-1.0d	"""0"""
-1.0d	"""-1"""
-1.0d	"""1.5"""
-1.0d	"""9223372036854775807"""
-1.0d	"""9223372036854775808"""
-1.0d	"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"""
Double.MAX_VALUE	""""""
Double.MAX_VALUE	""" """
Double.MAX_VALUE	"""a"""
Double.MAX_VALUE	"""test123"""
Double.MAX_VALUE	"""!@#"""
Double.MAX_VALUE	"""0"""
Double.MAX_VALUE	"""-1"""
Double.MAX_VALUE	"""1.5"""
Double.MAX_VALUE	"""9223372036854775807"""
Double.MAX_VALUE	"""9223372036854775808"""
Double.MAX_VALUE	"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"""
