defaultValue	key
0.0f	""""""
0.0f	""" """
0.0f	"""a"""
0.0f	"""test123"""
0.0f	"""!@#"""
0.0f	"""0"""
0.0f	"""-1"""
0.0f	"""1.5"""
0.0f	"""9223372036854775807"""
0.0f	"""9223372036854775808"""
0.0f	"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"""
1.0f	""""""
1.0f	""" """
1.0f	"""a"""
1.0f	"""test123"""
1.0f	"""!@#"""
1.0f	"""0"""
1.0f	"""-1"""
1.0f	"""1.5"""
1.0f	"""9223372036854775807"""
1.0f	"""9223372036854775808"""
1.0f	"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"""
-1.0f	""""""
-1.0f	""" """
-1.0f	"""a"""
-1.0f	"""test123"""
-1.0f	"""!@#"""
-1.0f	"""0"""
-1.0f	"""-1"""
-1.0f	"""1.5"""
-1.0f	"""9223372036854775807"""
-1.0f	"""9223372036854775808"""
-1.0f	"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"""
Float.MAX_VALUE	""""""
Float.MAX_VALUE	""" """
Float.MAX_VALUE	"""a"""
Float.MAX_VALUE	"""test123"""
Float.MAX_VALUE	"""!@#"""
Float.MAX_VALUE	"""0"""
Float.MAX_VALUE	"""-1"""
Float.MAX_VALUE	"""1.5"""
Float.MAX_VALUE	"""9223372036854775807"""
Float.MAX_VALUE	"""9223372036854775808"""
Float.MAX_VALUE	"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"""
