defaultValue	key
0	""""""
0	""" """
0	"""a"""
0	"""test123"""
0	"""!@#"""
0	"""0"""
0	"""-1"""
0	"""1.5"""
0	"""9223372036854775807"""
0	"""9223372036854775808"""
0	"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"""
1	""""""
1	""" """
1	"""a"""
1	"""test123"""
1	"""!@#"""
1	"""0"""
1	"""-1"""
1	"""1.5"""
1	"""9223372036854775807"""
1	"""9223372036854775808"""
1	"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"""
-1	""""""
-1	""" """
-1	"""a"""
-1	"""test123"""
-1	"""!@#"""
-1	"""0"""
-1	"""-1"""
-1	"""1.5"""
-1	"""9223372036854775807"""
-1	"""9223372036854775808"""
-1	"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"""
Integer.MAX_VALUE	""""""
Integer.MAX_VALUE	""" """
Integer.MAX_VALUE	"""a"""
Integer.MAX_VALUE	"""test123"""
Integer.MAX_VALUE	"""!@#"""
Integer.MAX_VALUE	"""0"""
Integer.MAX_VALUE	"""-1"""
Integer.MAX_VALUE	"""1.5"""
Integer.MAX_VALUE	"""9223372036854775807"""
Integer.MAX_VALUE	"""9223372036854775808"""
Integer.MAX_VALUE	"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"""
