defaultValue	key
(short) 0	""""""
(short) 0	""" """
(short) 0	"""a"""
(short) 0	"""test123"""
(short) 0	"""!@#"""
(short) 0	"""0"""
(short) 0	"""-1"""
(short) 0	"""1.5"""
(short) 0	"""9223372036854775807"""
(short) 0	"""9223372036854775808"""
(short) 0	"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"""
(short) 1	""""""
(short) 1	""" """
(short) 1	"""a"""
(short) 1	"""test123"""
(short) 1	"""!@#"""
(short) 1	"""0"""
(short) 1	"""-1"""
(short) 1	"""1.5"""
(short) 1	"""9223372036854775807"""
(short) 1	"""9223372036854775808"""
(short) 1	"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"""
(short) -1	""""""
(short) -1	""" """
(short) -1	"""a"""
(short) -1	"""test123"""
(short) -1	"""!@#"""
(short) -1	"""0"""
(short) -1	"""-1"""
(short) -1	"""1.5"""
(short) -1	"""9223372036854775807"""
(short) -1	"""9223372036854775808"""
(short) -1	"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"""
Short.MAX_VALUE	""""""
Short.MAX_VALUE	""" """
Short.MAX_VALUE	"""a"""
Short.MAX_VALUE	"""test123"""
Short.MAX_VALUE	"""!@#"""
Short.MAX_VALUE	"""0"""
Short.MAX_VALUE	"""-1"""
Short.MAX_VALUE	"""1.5"""
Short.MAX_VALUE	"""9223372036854775807"""
Short.MAX_VALUE	"""9223372036854775808"""
Short.MAX_VALUE	"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"""
