buffer	length	offset
new byte[] {}	0	0
new byte[] {}	1	1
new byte[] {}	-1	-1
new byte[] {}	Integer.MAX_VALUE	Integer.MAX_VALUE
new byte[] {}	Integer.MIN_VALUE	Integer.MIN_VALUE
new byte[] {1}	0	1
new byte[] {1}	1	0
new byte[] {1}	-1	Integer.MAX_VALUE
new byte[] {1}	Integer.MAX_VALUE	-1
new byte[] {1}	Integer.MIN_VALUE	0
new byte[] {}	-1	0
new byte[] {}	Integer.MAX_VALUE	0
new byte[] {}	-1	1
new byte[] {}	Integer.MAX_VALUE	1
new byte[] {}	Integer.MIN_VALUE	1
new byte[] {}	0	-1
new byte[] {}	1	-1
new byte[] {}	Integer.MIN_VALUE	-1
new byte[] {}	0	Integer.MAX_VALUE
new byte[] {}	1	Integer.MAX_VALUE
new byte[] {}	Integer.MIN_VALUE	Integer.MAX_VALUE
new byte[] {1}	0	Integer.MIN_VALUE
new byte[] {}	1	Integer.MIN_VALUE
new byte[] {}	-1	Integer.MIN_VALUE
new byte[] {}	Integer.MAX_VALUE	Integer.MIN_VALUE
