b	len	off	receiver__pInput
new byte[] {}	0	0	new java.io.ByteArrayInputStream(new byte[] {})
new byte[] {}	1	1	new java.io.ByteArrayInputStream(new byte[] {1})
new byte[] {}	-1	-1	new java.io.ByteArrayInputStream(new byte[] {})
new byte[] {}	Integer.MAX_VALUE	Integer.MAX_VALUE	new java.io.ByteArrayInputStream(new byte[] {})
new byte[] {}	Integer.MIN_VALUE	Integer.MIN_VALUE	new java.io.ByteArrayInputStream(new byte[] {})
new byte[] {1}	0	1	new java.io.ByteArrayInputStream(new byte[] {})
new byte[] {1}	1	0	new java.io.ByteArrayInputStream(new byte[] {1})
new byte[] {1}	-1	Integer.MAX_VALUE	new java.io.ByteArrayInputStream(new byte[] {1})
new byte[] {1}	Integer.MAX_VALUE	-1	new java.io.ByteArrayInputStream(new byte[] {1})
new byte[] {1}	Integer.MIN_VALUE	0	new java.io.ByteArrayInputStream(new byte[] {1})
new byte[] {}	-1	0	new java.io.ByteArrayInputStream(new byte[] {})
new byte[] {}	Integer.MAX_VALUE	0	new java.io.ByteArrayInputStream(new byte[] {})
new byte[] {}	-1	1	new java.io.ByteArrayInputStream(new byte[] {})
new byte[] {}	Integer.MAX_VALUE	1	new java.io.ByteArrayInputStream(new byte[] {})
new byte[] {}	Integer.MIN_VALUE	1	new java.io.ByteArrayInputStream(new byte[] {})
new byte[] {}	0	-1	new java.io.ByteArrayInputStream(new byte[] {1})
new byte[] {}	1	-1	new java.io.ByteArrayInputStream(new byte[] {})
new byte[] {}	Integer.MIN_VALUE	-1	new java.io.ByteArrayInputStream(new byte[] {})
new byte[] {}	0	Integer.MAX_VALUE	new java.io.ByteArrayInputStream(new byte[] {})
new byte[] {}	1	Integer.MAX_VALUE	new java.io.ByteArrayInputStream(new byte[] {})
new byte[] {}	Integer.MIN_VALUE	Integer.MAX_VALUE	new java.io.ByteArrayInputStream(new byte[] {})
new byte[] {1}	0	Integer.MIN_VALUE	new java.io.ByteArrayInputStream(new byte[] {1})
new byte[] {}	1	Integer.MIN_VALUE	new java.io.ByteArrayInputStream(new byte[] {})
new byte[] {}	-1	Integer.MIN_VALUE	new java.io.ByteArrayInputStream(new byte[] {})
new byte[] {}	Integer.MAX_VALUE	Integer.MIN_VALUE	new java.io.ByteArrayInputStream(new byte[] {})
