buf	length	offset	value
new byte[] {}	0	0	0L
new byte[] {}	1	1	1L
new byte[] {}	-1	-1	-1L
new byte[] {}	Integer.MAX_VALUE	Integer.MAX_VALUE	Long.MAX_VALUE
new byte[] {}	Integer.MIN_VALUE	Integer.MIN_VALUE	Long.MIN_VALUE
new byte[] {1}	0	1	-1L
new byte[] {1}	1	0	Long.MAX_VALUE
new byte[] {1}	-1	Integer.MAX_VALUE	0L
new byte[] {1}	Integer.MAX_VALUE	-1	1L
new byte[] {1}	Integer.MIN_VALUE	0	1L
new byte[] {}	-1	0	Long.MIN_VALUE
new byte[] {}	Integer.MAX_VALUE	0	-1L
new byte[] {}	-1	1	Long.MAX_VALUE
new byte[] {}	Integer.MAX_VALUE	1	0L
new byte[] {}	Integer.MIN_VALUE	1	0L
new byte[] {}	0	-1	Long.MAX_VALUE
new byte[] {}	1	-1	0L
new byte[] {}	Integer.MIN_VALUE	-1	-1L
new byte[] {}	0	Integer.MAX_VALUE	1L
new byte[] {}	1	Integer.MAX_VALUE	-1L
new byte[] {}	Integer.MIN_VALUE	Integer.MAX_VALUE	Long.MAX_VALUE
new byte[] {1}	0	Integer.MIN_VALUE	Long.MIN_VALUE
new byte[] {}	1	Integer.MIN_VALUE	0L
new byte[] {}	-1	Integer.MIN_VALUE	1L
new byte[] {}	Integer.MAX_VALUE	Integer.MIN_VALUE	-1L
new byte[] {}	0	Integer.MIN_VALUE	Long.MAX_VALUE
new byte[] {}	1	1	Long.MIN_VALUE
new byte[] {}	Integer.MAX_VALUE	-1	Long.MIN_VALUE
new byte[] {}	0	Integer.MAX_VALUE	Long.MIN_VALUE
