close	open	receiver__data
'\0'	'\0'	""""""
'\0'	'a'	""" """
'\0'	'0'	"""a"""
'\0'	Character.MIN_VALUE	"""test123"""
'\0'	Character.MAX_VALUE	"""!@#"""
'a'	'\0'	""" """
'a'	'a'	""""""
'a'	'0'	"""test123"""
'a'	Character.MIN_VALUE	"""a"""
'a'	Character.MAX_VALUE	"""0"""
'0'	'\0'	"""a"""
'0'	'a'	"""test123"""
'0'	'0'	""""""
'0'	Character.MIN_VALUE	""" """
'0'	Character.MAX_VALUE	"""-1"""
Character.MIN_VALUE	'\0'	"""test123"""
Character.MIN_VALUE	'a'	"""a"""
Character.MIN_VALUE	'0'	""" """
Character.MIN_VALUE	Character.MIN_VALUE	""""""
Character.MIN_VALUE	Character.MAX_VALUE	"""1.5"""
Character.MAX_VALUE	'\0'	"""!@#"""
Character.MAX_VALUE	'a'	"""0"""
Character.MAX_VALUE	'0'	"""-1"""
Character.MAX_VALUE	Character.MIN_VALUE	"""1.5"""
Character.MAX_VALUE	Character.MAX_VALUE	""""""
Character.MAX_VALUE	Character.MAX_VALUE	""" """
Character.MAX_VALUE	Character.MAX_VALUE	"""a"""
Character.MAX_VALUE	Character.MAX_VALUE	"""test123"""
'a'	'a'	"""!@#"""
'0'	'0'	"""!@#"""
Character.MIN_VALUE	Character.MIN_VALUE	"""!@#"""
'\0'	'\0'	"""0"""
'0'	'0'	"""0"""
Character.MIN_VALUE	Character.MIN_VALUE	"""0"""
'\0'	'\0'	"""-1"""
'a'	'a'	"""-1"""
Character.MIN_VALUE	Character.MIN_VALUE	"""-1"""
'\0'	'\0'	"""1.5"""
'a'	'a'	"""1.5"""
'0'	'0'	"""1.5"""
'\0'	'\0'	"""9223372036854775807"""
'a'	'a'	"""9223372036854775807"""
'0'	'0'	"""9223372036854775807"""
Character.MIN_VALUE	Character.MIN_VALUE	"""9223372036854775807"""
Character.MAX_VALUE	Character.MAX_VALUE	"""9223372036854775807"""
'\0'	'\0'	"""9223372036854775808"""
'a'	'a'	"""9223372036854775808"""
'0'	'0'	"""9223372036854775808"""
Character.MIN_VALUE	Character.MIN_VALUE	"""9223372036854775808"""
Character.MAX_VALUE	Character.MAX_VALUE	"""9223372036854775808"""
'\0'	'\0'	"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"""
'a'	'a'	"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"""
'0'	'0'	"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"""
Character.MIN_VALUE	Character.MIN_VALUE	"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"""
Character.MAX_VALUE	Character.MAX_VALUE	"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"""
