cs	searchChars
""""""	new char[] {}
""""""	new char[] {1}
""" """	new char[] {}
""" """	new char[] {1}
"""a"""	new char[] {}
"""a"""	new char[] {1}
"""test123"""	new char[] {}
"""test123"""	new char[] {1}
"""!@#"""	new char[] {}
"""!@#"""	new char[] {1}
"""0"""	new char[] {}
"""0"""	new char[] {1}
"""-1"""	new char[] {}
"""-1"""	new char[] {1}
"""1.5"""	new char[] {}
"""1.5"""	new char[] {1}
"""9223372036854775807"""	new char[] {}
"""9223372036854775807"""	new char[] {1}
"""9223372036854775808"""	new char[] {}
"""9223372036854775808"""	new char[] {1}
"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"""	new char[] {}
"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"""	new char[] {1}
