replacementList	searchList	text
new String[] {}	new String[] {}	""""""
new String[] {}	"new String[] {""value""}"	""" """
"new String[] {""value""}"	new String[] {}	""" """
"new String[] {""value""}"	"new String[] {""value""}"	""""""
new String[] {}	new String[] {}	"""a"""
"new String[] {""value""}"	"new String[] {""value""}"	"""a"""
new String[] {}	new String[] {}	"""test123"""
"new String[] {""value""}"	"new String[] {""value""}"	"""test123"""
new String[] {}	new String[] {}	"""!@#"""
"new String[] {""value""}"	"new String[] {""value""}"	"""!@#"""
new String[] {}	new String[] {}	"""0"""
"new String[] {""value""}"	"new String[] {""value""}"	"""0"""
new String[] {}	new String[] {}	"""-1"""
"new String[] {""value""}"	"new String[] {""value""}"	"""-1"""
new String[] {}	new String[] {}	"""1.5"""
"new String[] {""value""}"	"new String[] {""value""}"	"""1.5"""
new String[] {}	new String[] {}	"""9223372036854775807"""
"new String[] {""value""}"	"new String[] {""value""}"	"""9223372036854775807"""
new String[] {}	new String[] {}	"""9223372036854775808"""
"new String[] {""value""}"	"new String[] {""value""}"	"""9223372036854775808"""
new String[] {}	new String[] {}	"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"""
"new String[] {""value""}"	"new String[] {""value""}"	"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"""
