searchStr	str
""""""	""""""
""""""	""" """
""""""	"""a"""
""""""	"""test123"""
""""""	"""!@#"""
""""""	"""0"""
""""""	"""-1"""
""""""	"""1.5"""
""""""	"""9223372036854775807"""
""""""	"""9223372036854775808"""
""""""	"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"""
""" """	""""""
""" """	""" """
""" """	"""a"""
""" """	"""test123"""
""" """	"""!@#"""
""" """	"""0"""
""" """	"""-1"""
""" """	"""1.5"""
""" """	"""9223372036854775807"""
""" """	"""9223372036854775808"""
""" """	"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"""
"""a"""	""""""
"""a"""	""" """
"""a"""	"""a"""
"""a"""	"""test123"""
"""a"""	"""!@#"""
"""a"""	"""0"""
"""a"""	"""-1"""
"""a"""	"""1.5"""
"""a"""	"""9223372036854775807"""
"""a"""	"""9223372036854775808"""
"""a"""	"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"""
"""test123"""	""""""
"""test123"""	""" """
"""test123"""	"""a"""
"""test123"""	"""test123"""
"""test123"""	"""!@#"""
"""test123"""	"""0"""
"""test123"""	"""-1"""
"""test123"""	"""1.5"""
"""test123"""	"""9223372036854775807"""
"""test123"""	"""9223372036854775808"""
"""test123"""	"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"""
"""!@#"""	""""""
"""!@#"""	""" """
"""!@#"""	"""a"""
"""!@#"""	"""test123"""
"""!@#"""	"""!@#"""
"""!@#"""	"""0"""
"""!@#"""	"""-1"""
"""!@#"""	"""1.5"""
"""!@#"""	"""9223372036854775807"""
"""!@#"""	"""9223372036854775808"""
"""!@#"""	"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"""
"""0"""	""""""
"""0"""	""" """
"""0"""	"""a"""
"""0"""	"""test123"""
"""0"""	"""!@#"""
"""0"""	"""0"""
"""0"""	"""-1"""
"""0"""	"""1.5"""
"""0"""	"""9223372036854775807"""
"""0"""	"""9223372036854775808"""
"""0"""	"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"""
"""-1"""	""""""
"""-1"""	""" """
"""-1"""	"""a"""
"""-1"""	"""test123"""
"""-1"""	"""!@#"""
"""-1"""	"""0"""
"""-1"""	"""-1"""
"""-1"""	"""1.5"""
"""-1"""	"""9223372036854775807"""
"""-1"""	"""9223372036854775808"""
"""-1"""	"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"""
"""1.5"""	""""""
"""1.5"""	""" """
"""1.5"""	"""a"""
"""1.5"""	"""test123"""
"""1.5"""	"""!@#"""
"""1.5"""	"""0"""
"""1.5"""	"""-1"""
"""1.5"""	"""1.5"""
"""1.5"""	"""9223372036854775807"""
"""1.5"""	"""9223372036854775808"""
"""1.5"""	"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"""
"""9223372036854775807"""	""""""
"""9223372036854775807"""	""" """
"""9223372036854775807"""	"""a"""
"""9223372036854775807"""	"""test123"""
"""9223372036854775807"""	"""!@#"""
"""9223372036854775807"""	"""0"""
"""9223372036854775807"""	"""-1"""
"""9223372036854775807"""	"""1.5"""
"""9223372036854775807"""	"""9223372036854775807"""
"""9223372036854775807"""	"""9223372036854775808"""
"""9223372036854775807"""	"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"""
"""9223372036854775808"""	""""""
"""9223372036854775808"""	""" """
"""9223372036854775808"""	"""a"""
"""9223372036854775808"""	"""test123"""
"""9223372036854775808"""	"""!@#"""
"""9223372036854775808"""	"""0"""
"""9223372036854775808"""	"""-1"""
"""9223372036854775808"""	"""1.5"""
"""9223372036854775808"""	"""9223372036854775807"""
"""9223372036854775808"""	"""9223372036854775808"""
"""9223372036854775808"""	"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"""
"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"""	""""""
"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"""	""" """
"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"""	"""a"""
"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"""	"""test123"""
"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"""	"""!@#"""
"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"""	"""0"""
"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"""	"""-1"""
"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"""	"""1.5"""
"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"""	"""9223372036854775807"""
"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"""	"""9223372036854775808"""
"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"""	"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"""
