appendToEnd	lower	str	upper
""""""	0	""""""	0
""""""	1	""" """	1
""""""	-1	"""a"""	-1
""""""	Integer.MAX_VALUE	"""test123"""	Integer.MAX_VALUE
""""""	Integer.MIN_VALUE	"""!@#"""	Integer.MIN_VALUE
""" """	0	""" """	-1
""" """	1	""""""	Integer.MAX_VALUE
""" """	-1	"""test123"""	0
""" """	Integer.MAX_VALUE	"""a"""	1
""" """	Integer.MIN_VALUE	"""0"""	0
"""a"""	0	"""a"""	Integer.MAX_VALUE
"""a"""	1	"""test123"""	-1
"""a"""	-1	""""""	1
"""a"""	Integer.MAX_VALUE	""" """	0
"""a"""	Integer.MIN_VALUE	"""-1"""	1
"""test123"""	0	"""test123"""	1
"""test123"""	1	"""a"""	0
"""test123"""	-1	""" """	Integer.MAX_VALUE
"""test123"""	Integer.MAX_VALUE	""""""	-1
"""test123"""	Integer.MIN_VALUE	"""1.5"""	-1
"""!@#"""	0	"""!@#"""	0
"""!@#"""	1	"""0"""	Integer.MIN_VALUE
"""!@#"""	-1	"""-1"""	-1
"""!@#"""	Integer.MAX_VALUE	"""1.5"""	1
"""!@#"""	Integer.MIN_VALUE	""""""	Integer.MAX_VALUE
"""0"""	0	"""0"""	1
"""0"""	1	"""!@#"""	-1
"""0"""	-1	"""1.5"""	Integer.MIN_VALUE
"""0"""	Integer.MAX_VALUE	"""-1"""	0
"""0"""	Integer.MIN_VALUE	""" """	Integer.MAX_VALUE
"""-1"""	0	"""-1"""	Integer.MIN_VALUE
"""-1"""	1	"""1.5"""	0
"""-1"""	-1	"""!@#"""	1
"""-1"""	Integer.MAX_VALUE	"""0"""	-1
"""-1"""	Integer.MIN_VALUE	"""a"""	Integer.MAX_VALUE
"""1.5"""	0	"""1.5"""	Integer.MAX_VALUE
"""1.5"""	1	"""-1"""	0
"""1.5"""	-1	"""0"""	1
"""1.5"""	Integer.MAX_VALUE	"""!@#"""	Integer.MIN_VALUE
"""1.5"""	Integer.MIN_VALUE	"""test123"""	-1
"""9223372036854775807"""	0	"""9223372036854775807"""	0
"""9223372036854775807"""	1	"""9223372036854775808"""	1
"""9223372036854775807"""	-1	"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"""	-1
"""9223372036854775807"""	Integer.MAX_VALUE	""""""	Integer.MIN_VALUE
"""9223372036854775807"""	Integer.MIN_VALUE	""" """	Integer.MAX_VALUE
"""9223372036854775808"""	0	"""9223372036854775808"""	0
"""9223372036854775808"""	1	"""9223372036854775807"""	1
"""9223372036854775808"""	-1	""""""	-1
"""9223372036854775808"""	Integer.MAX_VALUE	"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"""	Integer.MAX_VALUE
"""9223372036854775808"""	Integer.MIN_VALUE	""" """	Integer.MIN_VALUE
"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"""	0	"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"""	0
"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"""	1	""""""	1
"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"""	-1	"""9223372036854775807"""	-1
"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"""	Integer.MAX_VALUE	"""9223372036854775808"""	Integer.MAX_VALUE
"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"""	Integer.MIN_VALUE	""" """	Integer.MIN_VALUE
"""0"""	0	""""""	0
"""-1"""	0	""""""	0
"""1.5"""	0	""""""	0
"""!@#"""	0	""" """	0
"""-1"""	0	""" """	0
"""1.5"""	0	""" """	0
"""!@#"""	0	"""a"""	Integer.MIN_VALUE
"""0"""	0	"""a"""	0
"""1.5"""	0	"""a"""	0
"""9223372036854775807"""	0	"""a"""	0
"""9223372036854775808"""	0	"""a"""	0
"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"""	0	"""a"""	0
"""!@#"""	0	"""test123"""	Integer.MIN_VALUE
"""0"""	0	"""test123"""	0
"""-1"""	0	"""test123"""	0
"""9223372036854775807"""	0	"""test123"""	0
"""9223372036854775808"""	0	"""test123"""	0
"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"""	0	"""test123"""	0
""" """	0	"""!@#"""	Integer.MAX_VALUE
"""a"""	0	"""!@#"""	Integer.MIN_VALUE
"""test123"""	0	"""!@#"""	Integer.MIN_VALUE
"""9223372036854775807"""	0	"""!@#"""	0
"""9223372036854775808"""	0	"""!@#"""	0
"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"""	0	"""!@#"""	0
""""""	0	"""0"""	Integer.MAX_VALUE
"""a"""	0	"""0"""	0
"""test123"""	0	"""0"""	0
"""9223372036854775807"""	0	"""0"""	0
"""9223372036854775808"""	0	"""0"""	0
"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"""	0	"""0"""	0
""""""	0	"""-1"""	Integer.MAX_VALUE
""" """	0	"""-1"""	Integer.MIN_VALUE
"""test123"""	0	"""-1"""	0
"""9223372036854775807"""	0	"""-1"""	0
"""9223372036854775808"""	0	"""-1"""	0
"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"""	0	"""-1"""	0
""""""	0	"""1.5"""	0
""" """	0	"""1.5"""	0
"""a"""	0	"""1.5"""	0
"""9223372036854775807"""	0	"""1.5"""	0
"""9223372036854775808"""	0	"""1.5"""	0
"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"""	0	"""1.5"""	0
""""""	Integer.MAX_VALUE	"""9223372036854775807"""	Integer.MAX_VALUE
""" """	Integer.MIN_VALUE	"""9223372036854775807"""	Integer.MIN_VALUE
"""a"""	0	"""9223372036854775807"""	0
"""test123"""	0	"""9223372036854775807"""	0
"""!@#"""	0	"""9223372036854775807"""	0
"""0"""	0	"""9223372036854775807"""	0
"""-1"""	0	"""9223372036854775807"""	0
"""1.5"""	0	"""9223372036854775807"""	0
""""""	-1	"""9223372036854775808"""	-1
""" """	Integer.MIN_VALUE	"""9223372036854775808"""	Integer.MIN_VALUE
"""a"""	0	"""9223372036854775808"""	0
"""test123"""	0	"""9223372036854775808"""	0
"""!@#"""	0	"""9223372036854775808"""	0
"""0"""	0	"""9223372036854775808"""	0
"""-1"""	0	"""9223372036854775808"""	0
"""1.5"""	0	"""9223372036854775808"""	0
""""""	1	"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"""	1
""" """	Integer.MIN_VALUE	"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"""	Integer.MIN_VALUE
"""a"""	0	"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"""	0
"""test123"""	0	"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"""	0
"""!@#"""	0	"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"""	0
"""0"""	0	"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"""	0
"""-1"""	0	"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"""	0
"""1.5"""	0	"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"""	0
