epsilon	maxIterations	x
0.0d	0	0.0d
0.0d	1	1.0d
0.0d	-1	-1.0d
0.0d	Integer.MAX_VALUE	Double.NaN
0.0d	Integer.MIN_VALUE	Double.POSITIVE_INFINITY
1.0d	0	1.0d
1.0d	1	0.0d
1.0d	-1	Double.NaN
1.0d	Integer.MAX_VALUE	-1.0d
1.0d	Integer.MIN_VALUE	0.0d
-1.0d	0	-1.0d
-1.0d	1	Double.NaN
-1.0d	-1	0.0d
-1.0d	Integer.MAX_VALUE	1.0d
-1.0d	Integer.MIN_VALUE	1.0d
Double.NaN	0	Double.NaN
Double.NaN	1	-1.0d
Double.NaN	-1	1.0d
Double.NaN	Integer.MAX_VALUE	0.0d
Double.NaN	Integer.MIN_VALUE	-1.0d
Double.POSITIVE_INFINITY	0	Double.POSITIVE_INFINITY
Double.POSITIVE_INFINITY	1	0.0d
Double.POSITIVE_INFINITY	-1	1.0d
Double.POSITIVE_INFINITY	Integer.MAX_VALUE	-1.0d
Double.POSITIVE_INFINITY	Integer.MIN_VALUE	Double.NaN
1.0d	1	Double.POSITIVE_INFINITY
-1.0d	-1	Double.POSITIVE_INFINITY
Double.NaN	Integer.MAX_VALUE	Double.POSITIVE_INFINITY
