begin	length	mean	values	weights
0	0	0.0d	new double[] {}	new double[] {}
0	1	1.0d	new double[] {1}	new double[] {1}
0	-1	-1.0d	new double[] {}	new double[] {1}
0	Integer.MAX_VALUE	Double.NaN	new double[] {}	new double[] {}
0	Integer.MIN_VALUE	Double.POSITIVE_INFINITY	new double[] {}	new double[] {}
1	0	1.0d	new double[] {}	new double[] {}
1	1	0.0d	new double[] {1}	new double[] {}
1	-1	Double.NaN	new double[] {1}	new double[] {1}
1	Integer.MAX_VALUE	-1.0d	new double[] {1}	new double[] {}
1	Integer.MIN_VALUE	0.0d	new double[] {1}	new double[] {1}
-1	0	-1.0d	new double[] {1}	new double[] {1}
-1	1	Double.NaN	new double[] {}	new double[] {}
-1	-1	0.0d	new double[] {}	new double[] {}
-1	Integer.MAX_VALUE	1.0d	new double[] {}	new double[] {1}
-1	Integer.MIN_VALUE	1.0d	new double[] {}	new double[] {}
Integer.MAX_VALUE	0	Double.NaN	new double[] {}	new double[] {}
Integer.MAX_VALUE	1	-1.0d	new double[] {1}	new double[] {1}
Integer.MAX_VALUE	-1	1.0d	new double[] {}	new double[] {}
Integer.MAX_VALUE	Integer.MAX_VALUE	0.0d	new double[] {}	new double[] {}
Integer.MAX_VALUE	Integer.MIN_VALUE	-1.0d	new double[] {}	new double[] {}
Integer.MIN_VALUE	0	Double.POSITIVE_INFINITY	new double[] {1}	new double[] {1}
Integer.MIN_VALUE	1	0.0d	new double[] {}	new double[] {}
Integer.MIN_VALUE	-1	1.0d	new double[] {}	new double[] {}
Integer.MIN_VALUE	Integer.MAX_VALUE	-1.0d	new double[] {}	new double[] {}
Integer.MIN_VALUE	Integer.MIN_VALUE	Double.NaN	new double[] {}	new double[] {}
1	1	Double.POSITIVE_INFINITY	new double[] {}	new double[] {}
-1	-1	Double.POSITIVE_INFINITY	new double[] {}	new double[] {}
Integer.MAX_VALUE	Integer.MAX_VALUE	Double.POSITIVE_INFINITY	new double[] {}	new double[] {}
