receiver__needsNormalization	receiver__q0	receiver__q1	receiver__q2	receiver__q3
true	0.0d	0.0d	0.0d	0.0d
true	1.0d	1.0d	1.0d	1.0d
true	-1.0d	-1.0d	-1.0d	-1.0d
true	Double.NaN	Double.NaN	Double.NaN	Double.NaN
true	Double.POSITIVE_INFINITY	Double.POSITIVE_INFINITY	Double.POSITIVE_INFINITY	Double.POSITIVE_INFINITY
false	0.0d	1.0d	-1.0d	Double.NaN
false	1.0d	0.0d	Double.NaN	-1.0d
false	-1.0d	Double.NaN	0.0d	1.0d
false	Double.NaN	-1.0d	1.0d	0.0d
false	Double.POSITIVE_INFINITY	0.0d	1.0d	Double.NaN
true	-1.0d	0.0d	Double.POSITIVE_INFINITY	0.0d
true	Double.NaN	0.0d	-1.0d	1.0d
true	-1.0d	1.0d	Double.NaN	Double.POSITIVE_INFINITY
true	Double.NaN	1.0d	0.0d	-1.0d
true	Double.POSITIVE_INFINITY	1.0d	0.0d	0.0d
true	0.0d	-1.0d	Double.NaN	1.0d
true	1.0d	-1.0d	0.0d	Double.NaN
true	Double.POSITIVE_INFINITY	-1.0d	-1.0d	Double.POSITIVE_INFINITY
true	0.0d	Double.NaN	1.0d	-1.0d
true	1.0d	Double.NaN	-1.0d	0.0d
true	Double.POSITIVE_INFINITY	Double.NaN	Double.NaN	0.0d
false	0.0d	Double.POSITIVE_INFINITY	Double.POSITIVE_INFINITY	1.0d
true	1.0d	Double.POSITIVE_INFINITY	0.0d	Double.POSITIVE_INFINITY
true	-1.0d	Double.POSITIVE_INFINITY	1.0d	Double.NaN
true	Double.NaN	Double.POSITIVE_INFINITY	-1.0d	0.0d
true	0.0d	Double.POSITIVE_INFINITY	Double.NaN	-1.0d
true	1.0d	1.0d	Double.POSITIVE_INFINITY	-1.0d
true	Double.NaN	-1.0d	Double.POSITIVE_INFINITY	Double.NaN
true	0.0d	Double.NaN	Double.POSITIVE_INFINITY	Double.POSITIVE_INFINITY
true	Double.POSITIVE_INFINITY	0.0d	0.0d	1.0d
true	Double.POSITIVE_INFINITY	0.0d	0.0d	-1.0d
false	Double.NaN	0.0d	1.0d	Double.POSITIVE_INFINITY
