a	b
0.0f	0.0f
0.0f	1.0f
0.0f	-1.0f
0.0f	Float.NaN
0.0f	Float.POSITIVE_INFINITY
1.0f	0.0f
1.0f	1.0f
1.0f	-1.0f
1.0f	Float.NaN
1.0f	Float.POSITIVE_INFINITY
-1.0f	0.0f
-1.0f	1.0f
-1.0f	-1.0f
-1.0f	Float.NaN
-1.0f	Float.POSITIVE_INFINITY
Float.NaN	0.0f
Float.NaN	1.0f
Float.NaN	-1.0f
Float.NaN	Float.NaN
Float.NaN	Float.POSITIVE_INFINITY
Float.POSITIVE_INFINITY	0.0f
Float.POSITIVE_INFINITY	1.0f
Float.POSITIVE_INFINITY	-1.0f
Float.POSITIVE_INFINITY	Float.NaN
Float.POSITIVE_INFINITY	Float.POSITIVE_INFINITY
