base	x
0.0d	0.0d
0.0d	1.0d
0.0d	-1.0d
0.0d	Double.NaN
0.0d	Double.POSITIVE_INFINITY
1.0d	0.0d
1.0d	1.0d
1.0d	-1.0d
1.0d	Double.NaN
1.0d	Double.POSITIVE_INFINITY
-1.0d	0.0d
-1.0d	1.0d
-1.0d	-1.0d
-1.0d	Double.NaN
-1.0d	Double.POSITIVE_INFINITY
Double.NaN	0.0d
Double.NaN	1.0d
Double.NaN	-1.0d
Double.NaN	Double.NaN
Double.NaN	Double.POSITIVE_INFINITY
Double.POSITIVE_INFINITY	0.0d
Double.POSITIVE_INFINITY	1.0d
Double.POSITIVE_INFINITY	-1.0d
Double.POSITIVE_INFINITY	Double.NaN
Double.POSITIVE_INFINITY	Double.POSITIVE_INFINITY
