earlierOrLater	instant	receiver__id
true	0L	""""""
true	1L	""" """
true	-1L	"""a"""
true	Long.MAX_VALUE	"""test123"""
true	Long.MIN_VALUE	"""!@#"""
false	0L	""" """
false	1L	""""""
false	-1L	"""test123"""
false	Long.MAX_VALUE	"""a"""
false	Long.MIN_VALUE	"""0"""
true	-1L	""""""
true	Long.MAX_VALUE	""""""
true	Long.MIN_VALUE	""""""
true	-1L	""" """
true	Long.MAX_VALUE	""" """
true	Long.MIN_VALUE	""" """
true	0L	"""a"""
true	1L	"""a"""
true	Long.MIN_VALUE	"""a"""
true	0L	"""test123"""
true	1L	"""test123"""
true	Long.MIN_VALUE	"""test123"""
false	0L	"""!@#"""
true	1L	"""!@#"""
true	-1L	"""!@#"""
true	Long.MAX_VALUE	"""!@#"""
true	0L	"""0"""
true	1L	"""0"""
true	-1L	"""0"""
true	Long.MAX_VALUE	"""0"""
true	0L	"""-1"""
false	1L	"""-1"""
true	-1L	"""-1"""
true	Long.MAX_VALUE	"""-1"""
true	Long.MIN_VALUE	"""-1"""
true	0L	"""1.5"""
false	1L	"""1.5"""
true	-1L	"""1.5"""
true	Long.MAX_VALUE	"""1.5"""
true	Long.MIN_VALUE	"""1.5"""
true	0L	"""9223372036854775807"""
false	1L	"""9223372036854775807"""
true	-1L	"""9223372036854775807"""
true	Long.MAX_VALUE	"""9223372036854775807"""
true	Long.MIN_VALUE	"""9223372036854775807"""
true	0L	"""9223372036854775808"""
false	1L	"""9223372036854775808"""
true	-1L	"""9223372036854775808"""
true	Long.MAX_VALUE	"""9223372036854775808"""
true	Long.MIN_VALUE	"""9223372036854775808"""
true	0L	"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"""
false	1L	"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"""
true	-1L	"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"""
true	Long.MAX_VALUE	"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"""
true	Long.MIN_VALUE	"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"""
