instant	receiver__id
0L	""""""
0L	""" """
0L	"""a"""
0L	"""test123"""
0L	"""!@#"""
0L	"""0"""
0L	"""-1"""
0L	"""1.5"""
0L	"""9223372036854775807"""
0L	"""9223372036854775808"""
0L	"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"""
1L	""""""
1L	""" """
1L	"""a"""
1L	"""test123"""
1L	"""!@#"""
1L	"""0"""
1L	"""-1"""
1L	"""1.5"""
1L	"""9223372036854775807"""
1L	"""9223372036854775808"""
1L	"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"""
-1L	""""""
-1L	""" """
-1L	"""a"""
-1L	"""test123"""
-1L	"""!@#"""
-1L	"""0"""
-1L	"""-1"""
-1L	"""1.5"""
-1L	"""9223372036854775807"""
-1L	"""9223372036854775808"""
-1L	"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"""
Long.MAX_VALUE	""""""
Long.MAX_VALUE	""" """
Long.MAX_VALUE	"""a"""
Long.MAX_VALUE	"""test123"""
Long.MAX_VALUE	"""!@#"""
Long.MAX_VALUE	"""0"""
Long.MAX_VALUE	"""-1"""
Long.MAX_VALUE	"""1.5"""
Long.MAX_VALUE	"""9223372036854775807"""
Long.MAX_VALUE	"""9223372036854775808"""
Long.MAX_VALUE	"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"""
Long.MIN_VALUE	""""""
Long.MIN_VALUE	""" """
Long.MIN_VALUE	"""a"""
Long.MIN_VALUE	"""test123"""
Long.MIN_VALUE	"""!@#"""
Long.MIN_VALUE	"""0"""
Long.MIN_VALUE	"""-1"""
Long.MIN_VALUE	"""1.5"""
Long.MIN_VALUE	"""9223372036854775807"""
Long.MIN_VALUE	"""9223372036854775808"""
Long.MIN_VALUE	"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"""
