Project,Bug_ID,Target_Class,AI_Tool,Model,Input_Tokens,Output_Tokens,Total_Tokens,Generation_Time_Sec,Timestamp
Lang,1,org.apache.commons.lang3.math.NumberUtils,Claude Sonnet 5 (via KKU API),claude-sonnet-5,19323,34704,54027,297.52,2026-09-08 22:13:09
Lang,1,org.apache.commons.lang3.math.NumberUtils,Gemini 3.8 Flash (via KKU API),gemini-3.8-flash,14625,8491,23955,59.08,2026-09-08 22:15:06
Chart,1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,Claude Sonnet 5 (via KKU API),claude-sonnet-5,28901,35110,64011,245.99,2026-09-09 20:28:10
Chart,1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,Gemini 3.8 Flash (via KKU API),gemini-3.8-flash,19729,6959,36517,139.81,2026-09-09 20:34:55
Cli,1,org.apache.commons.cli.CommandLine,Claude Sonnet 5 (via KKU API),claude-sonnet-5,4172,31098,35270,287.7,2026-09-09 20:48:30
Cli,1,org.apache.commons.cli.CommandLine,Gemini 3.8 Flash (via KKU API),gemini-3.8-flash,3406,3402,10820,43.36,2026-09-09 20:54:02
Closure,1,com.google.javascript.jscomp.RemoveUnusedVars,Gemini 3.8 Flash (via KKU API),gemini-3.8-flash,9936,5849,29600,102.83,2026-09-10 11:19:53
Closure,1,com.google.javascript.jscomp.RemoveUnusedVars,Claude Sonnet 5 (via KKU API),claude-sonnet-5,14289,41319,55608,381.78,2026-09-11 17:03:52
Codec,1,org.apache.commons.codec.language.Caverphone,Gemini 3.8 Flash (via KKU API),gemini-3.8-flash,3386,5068,9817,35.93,2026-09-11 17:15:09
Codec,1,org.apache.commons.codec.language.Caverphone,Claude Sonnet 5 (via KKU API),claude-sonnet-5,4772,8893,13665,123.35,2026-09-11 17:17:25
Codec,1,org.apache.commons.codec.language.Metaphone,Gemini 3.8 Flash (via KKU API),gemini-3.8-flash,4982,4709,11935,38.75,2026-09-11 17:20:40
Codec,1,org.apache.commons.codec.language.Metaphone,Claude Sonnet 5 (via KKU API),claude-sonnet-5,6826,12142,18968,83.02,2026-09-11 17:22:30
Codec,1,org.apache.commons.codec.language.SoundexUtils,Gemini 3.8 Flash (via KKU API),gemini-3.8-flash,2446,2177,6552,23.79,2026-09-11 17:24:09
Codec,1,org.apache.commons.codec.language.SoundexUtils,Claude Sonnet 5 (via KKU API),claude-sonnet-5,3359,3771,7130,27.93,2026-09-11 17:24:46
Collections,25,org.apache.commons.collections4.IteratorUtils,Gemini 3.8 Flash (via KKU API),gemini-3.8-flash,16003,9408,27041,56.0,2026-09-11 17:30:02
Collections,25,org.apache.commons.collections4.IteratorUtils,Claude Sonnet 5 (via KKU API),claude-sonnet-5,22799,27342,50141,170.43,2026-09-11 17:35:47
Compress,1,org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream,Gemini 3.8 Flash (via KKU API),gemini-3.8-flash,5043,5927,14158,71.58,2026-09-12 09:34:25
Compress,1,org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream,Claude Sonnet 5 (via KKU API),claude-sonnet-5,7204,24863,32067,191.12,2026-09-12 09:37:44
Csv,1,org.apache.commons.csv.ExtendedBufferedReader,Gemini 3.8 Flash (via KKU API),gemini-3.8-flash,2335,4524,8319,33.77,2026-09-12 09:43:07
Csv,1,org.apache.commons.csv.ExtendedBufferedReader,Claude Sonnet 5 (via KKU API),claude-sonnet-5,3091,7904,10995,57.52,2026-09-12 09:44:15
