Project,Bug_ID,Technique,Owner,Master_Status,Audit_Status,Target_Classes,Candidate_Files,Candidate_Packages,Target_Match_Files,Candidate_SHA256
Chart,1,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,,,,
Chart,2,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,org.jfree.data.general.DatasetUtilities,,,,
Chart,6,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,org.jfree.chart.util.ShapeList,,,,
Chart,8,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,org.jfree.data.time.Week,,,,
Chart,10,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator,,,,
Chart,12,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,org.jfree.chart.plot.MultiplePiePlot,,,,
Chart,13,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,org.jfree.chart.block.BorderArrangement,,,,
Chart,15,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,org.jfree.chart.plot.PiePlot,,,,
Chart,19,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,org.jfree.chart.plot.CategoryPlot,,,,
Chart,22,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,org.jfree.data.KeyedObjects2D,,,,
Chart,23,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,org.jfree.chart.renderer.category.MinMaxCategoryRenderer,,,,
Chart,24,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,org.jfree.chart.renderer.GrayPaintScale,,,,
Chart,25,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,org.jfree.chart.renderer.category.StatisticalBarRenderer,,,,
Chart,26,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,org.jfree.chart.axis.Axis,,,,
Cli,2,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,org.apache.commons.cli.PosixParser,,,,
Cli,3,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,org.apache.commons.cli.TypeHandler,,,,
Cli,4,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,org.apache.commons.cli.Parser,,,,
Cli,5,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,org.apache.commons.cli.Util,,,,
Cli,7,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,org.apache.commons.cli2.builder.PatternBuilder,,,,
Cli,9,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,org.apache.commons.cli.Parser,,,,
Cli,10,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,org.apache.commons.cli.Parser,,,,
Cli,12,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,org.apache.commons.cli.GnuParser,,,,
Cli,13,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,org.apache.commons.cli2.WriteableCommandLine;org.apache.commons.cli2.commandline.WriteableCommandLineImpl;org.apache.commons.cli2.option.ArgumentImpl,,,,
Cli,15,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,org.apache.commons.cli2.commandline.WriteableCommandLineImpl,,,,
Cli,17,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,org.apache.commons.cli.PosixParser,,,,
Cli,18,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,org.apache.commons.cli.PosixParser,,,,
Cli,19,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,org.apache.commons.cli.PosixParser,,,,
Cli,20,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,org.apache.commons.cli.PosixParser,,,,
Cli,22,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,org.apache.commons.cli.PosixParser,,,,
Cli,25,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,org.apache.commons.cli.HelpFormatter,,,,
Cli,26,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,org.apache.commons.cli.OptionBuilder,,,,
Cli,27,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,org.apache.commons.cli.OptionGroup,,,,
Cli,28,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,org.apache.commons.cli.Parser,,,,
Cli,29,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,org.apache.commons.cli.Util,,,,
Cli,30,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,org.apache.commons.cli.DefaultParser;org.apache.commons.cli.Parser,,,,
Cli,35,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,org.apache.commons.cli.Options,,,,
Cli,36,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,org.apache.commons.cli.OptionGroup;org.apache.commons.cli.Options,,,,
