Project,Bug_ID,Technique,Target_Classes,Suite_Available,Test_Files,Suite_SHA256,Inventory_Status,Error_Detail
Chart,1,IPO (Native IPO),org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,NO,,,NO_SUITE,
Chart,1,MIO (EvoSuite SBST),org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,YES,AbstractCategoryItemRenderer_ESTest.java,c685bae951df0c9a48d50ae278aacc6e0b76bcbc512ae9305757664eec37e43c,READY,
Chart,1,DeepSeek V4 Flash,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,YES,AbstractCategoryItemRendererDeepseekTest.java,94a0dd91f822ada46ae51be34ab96a05feb0e849c20375ca7e33cd4599746f6c,READY,
Chart,1,Gemini 3.8 Flash,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,YES,AbstractCategoryItemRendererGeminiTest.java,173590f25366a4a380f66590fb5fe7acb60b7190e4ecc0b3999fd0fab94ff1f9,READY,
Chart,2,IPO (Native IPO),org.jfree.data.general.DatasetUtilities,NO,,,NO_SUITE,
Chart,2,MIO (EvoSuite SBST),org.jfree.data.general.DatasetUtilities,YES,DatasetUtilities_ESTest.java,72bd2b43ef1371aa76b18a44cb553cfc5cd5c0c5428e7e07119c52b26e848c93,READY,
Chart,2,DeepSeek V4 Flash,org.jfree.data.general.DatasetUtilities,YES,DatasetUtilitiesDeepseekTest.java,e4900f172dd10bc639919556463ccc3fe9bbdcf2e33cd15fe1fa29cc205b80bc,READY,
Chart,2,Gemini 3.8 Flash,org.jfree.data.general.DatasetUtilities,YES,DatasetUtilitiesGeminiTest.java,8c4878de5e08e57b93a9cdfa8a9107f77fcb6c8359d1aac46546978af33f0f26,READY,
Chart,3,IPO (Native IPO),org.jfree.data.time.TimeSeries,YES,TimeSeries_IPOTest.java,0763820cd6b26811269d4b979d4451dd74675ee395bfa775ebb8fe0912a02e90,READY,
Chart,3,MIO (EvoSuite SBST),org.jfree.data.time.TimeSeries,YES,TimeSeries_ESTest.java,b2db0ce6bb0958435c25035c9be62791cb8b1469819184f3c279ede2980f6f15,READY,
Chart,3,DeepSeek V4 Flash,org.jfree.data.time.TimeSeries,YES,TimeSeriesDeepseekTest.java,adf0a8f4626a217127c2149a5c07f902b2975d08a49242a81f9b3ddffa73c348,READY,
Chart,3,Gemini 3.8 Flash,org.jfree.data.time.TimeSeries,YES,TimeSeriesGeminiTest.java,bcce42fcb234af77041bc36390ce7a79a791e78df3c8a92331c8c12175558d2e,READY,
Chart,4,IPO (Native IPO),org.jfree.chart.plot.XYPlot,YES,XYPlot_IPOTest.java,a8319aa106c1278a7177b74dbb1d3dd027b76c5fb41368d46a0b5b15f03d0d17,READY,
Chart,4,MIO (EvoSuite SBST),org.jfree.chart.plot.XYPlot,YES,XYPlot_ESTest.java,f1a222a1171f6db86b79e45ebe1cbd298145d4ac5a0a38f52cc2df135472e5ff,READY,
Chart,4,DeepSeek V4 Flash,org.jfree.chart.plot.XYPlot,YES,XYPlotDeepseekTest.java,cf4225a48c326d9dd664ea6862f853fda4be8a30e519b9883a78828b234f22fe,READY,
Chart,4,Gemini 3.8 Flash,org.jfree.chart.plot.XYPlot,YES,XYPlotGeminiTest.java,4902ffeb8eb7f066099fec62d540c2f5e1b2b564de8a437efd839e48e20813b1,READY,
Chart,5,IPO (Native IPO),org.jfree.data.xy.XYSeries,YES,XYSeries_IPOTest.java,f917fe71c33ea71157b6b8168754b45be235b4326edf8cd5f3bf9b352a99c221,READY,
Chart,5,MIO (EvoSuite SBST),org.jfree.data.xy.XYSeries,YES,XYSeries_ESTest.java,ef48e6311839e58baf01540d4269891ba83d48801748dce1b46794a09b620317,READY,
Chart,5,DeepSeek V4 Flash,org.jfree.data.xy.XYSeries,YES,XYSeriesDeepseekTest.java,adbea997843aad6176a116129e28c0486e0b8c1739e78c274b90c696ef985de9,READY,
Chart,5,Gemini 3.8 Flash,org.jfree.data.xy.XYSeries,YES,XYSeriesGeminiTest.java,930c9398b84e87118089506c990fd30b71816d271e0ec470b851306199b407b1,READY,
Chart,6,IPO (Native IPO),org.jfree.chart.util.ShapeList,NO,,,NO_SUITE,
Chart,6,MIO (EvoSuite SBST),org.jfree.chart.util.ShapeList,YES,ShapeList_ESTest.java,b60184c3c4ee9cff2b0f44ef18fcdfdf63b773df5eab9a99b0a2d6b750799aab,READY,
Chart,6,DeepSeek V4 Flash,org.jfree.chart.util.ShapeList,YES,ShapeListDeepseekTest.java,fe68ae3c47f957e4b8dd7d5d3fa1095ad88ba686fddb3c51884a9b10a8c28ca2,READY,
Chart,6,Gemini 3.8 Flash,org.jfree.chart.util.ShapeList,YES,ShapeListGeminiTest.java,7e580ec584e14abc1a0d22b5456ca8ad346069b28b61885f8c0fda452be264a7,READY,
Chart,7,IPO (Native IPO),org.jfree.data.time.TimePeriodValues,YES,TimePeriodValues_IPOTest.java,e1cdb5471fc7f2fe192ef93a5ed2431562d7d83f8776f628f2a6f5de09a57e46,READY,
Chart,7,MIO (EvoSuite SBST),org.jfree.data.time.TimePeriodValues,YES,TimePeriodValues_ESTest.java,a56a30d1a4679af5a2b601e12a95b12dc4ed567719a88e644441073b189bdb08,READY,
